valid_time,t_850hPa,t_500hPa,u_850hPa,u_500hPa,v_850hPa,v_500hPa
2024-01-01 00:00:00,272.14734,249.48726,9.752182,32.455246,-1.8799286,-15.290161
2024-01-01 01:00:00,272.35046,250.16946,9.177231,31.145645,-0.9839325,-13.748474
2024-01-01 02:00:00,272.52014,250.02373,8.825699,29.616318,-0.73431396,-11.885468
2024-01-01 03:00:00,272.63,249.76517,8.598541,27.644836,-0.08970642,-10.969986
2024-01-01 04:00:00,272.76404,249.38293,9.037689,24.990356,-0.2818756,-9.594666
2024-01-01 05:00:00,272.9635,249.16512,9.193176,22.513641,-1.3243408,-7.567047
2024-01-01 06:00:00,272.94543,248.94609,9.077377,20.888535,-2.5,-5.3314667
2024-01-01 07:00:00,272.87244,248.6661,7.9981995,19.766281,-3.1213074,-3.9486694
2024-01-01 08:00:00,272.81445,248.43884,7.2602997,19.104279,-2.8881073,-3.8879852
2024-01-01 09:00:00,272.80676,248.49168,6.8428802,18.054932,-2.6560516,-5.513199
2024-01-01 10:00:00,272.3474,248.53755,6.8729706,20.621063,-0.27104187,-1.0398102
2024-01-01 11:00:00,272.51056,248.48666,6.803192,21.244598,0.18582153,-0.28489685
2024-01-01 12:00:00,272.67133,248.65047,6.4721985,21.726562,0.36798096,-0.1559143
2024-01-01 13:00:00,272.9405,248.62843,5.5337524,20.461731,1.1417236,-2.507965
2024-01-01 14:00:00,272.94708,248.56238,5.5500946,17.696533,1.1660614,-5.93309
2024-01-01 15:00:00,272.91284,248.5942,6.601593,16.182343,1.0832214,-6.794525
2024-01-01 16:00:00,272.95984,248.58356,7.5485535,16.21048,0.773468,-6.963913
2024-01-01 17:00:00,273.04114,248.71588,6.805832,15.409485,1.0425415,-7.1748047
2024-01-01 18:00:00,273.11572,248.89821,6.7161713,14.896744,1.1055298,-7.525879
2024-01-01 19:00:00,273.41467,249.66661,7.3490753,15.907639,0.5695648,-7.958145
2024-01-01 20:00:00,273.85657,252.15166,5.9268036,16.802826,1.679718,-10.027374
2024-01-01 21:00:00,274.36316,252.28809,6.3444366,15.32016,2.597641,-12.117401
2024-01-01 22:00:00,275.08887,252.01903,10.405441,15.439621,3.4271545,-10.051361
2024-01-01 23:00:00,275.9198,252.88988,11.248627,18.791367,3.4667664,-5.673218
2024-01-02 00:00:00,276.71094,252.82094,11.046387,22.210876,4.1982727,-3.715683
2024-01-02 01:00:00,276.1006,253.06923,12.98877,24.21228,4.536148,-2.930359
2024-01-02 02:00:00,275.32214,253.23729,14.231903,24.296082,4.770401,-2.4013214
2024-01-02 03:00:00,275.52588,253.70929,14.551239,23.003342,3.8950958,-3.1086426
2024-01-02 04:00:00,275.9702,254.65216,13.985153,21.019547,3.4004822,-4.1753387
2024-01-02 05:00:00,276.1106,255.34622,12.906006,21.112976,2.3780518,-6.5542755
2024-01-02 06:00:00,275.93237,255.58711,12.401306,22.597,2.8592377,-7.064331
2024-01-02 07:00:00,275.92456,255.9336,12.147034,24.014908,4.1950073,-6.274292
2024-01-02 08:00:00,276.3562,255.93344,11.8294525,21.791077,6.006302,-6.0115356
2024-01-02 09:00:00,276.74292,255.98639,12.308014,19.858429,7.2562256,-6.219223
2024-01-02 10:00:00,277.7129,256.67548,19.507874,19.71695,5.8865356,-4.2274323
2024-01-02 11:00:00,277.54126,256.86072,18.08017,22.396545,6.862961,-4.5684357
2024-01-02 12:00:00,278.0381,256.69043,18.12268,23.95401,7.0767517,-2.798355
2024-01-02 13:00:00,277.9441,257.26093,17.855286,24.057755,6.9609833,1.4441833
2024-01-02 14:00:00,278.7871,257.9101,17.448792,24.929337,6.2431183,-0.050231934
2024-01-02 15:00:00,279.70776,258.0771,14.742767,28.817612,7.7215424,-0.80392456
2024-01-02 16:00:00,279.68726,258.18774,12.930893,28.34874,11.421158,-4.3467865
2024-01-02 17:00:00,279.7793,257.49762,14.694931,26.814209,12.754196,-3.810257
2024-01-02 18:00:00,279.17603,256.66302,16.299088,29.166214,13.396896,-0.45666504
2024-01-02 19:00:00,277.9917,256.2192,18.762222,28.846985,13.702118,1.4876251
2024-01-02 20:00:00,277.5232,255.3558,18.898483,32.979004,10.715561,0.4011078
2024-01-02 21:00:00,277.489,254.08229,18.21286,38.457947,7.0481415,-0.3461914
2024-01-02 22:00:00,277.96558,253.56395,21.102646,35.822037,3.8938904,1.3883514
2024-01-02 23:00:00,277.41492,253.02881,18.405746,34.53885,4.1678314,-4.4476776
2024-01-03 00:00:00,276.9298,253.29866,16.917831,35.429764,4.427658,-4.7647247
2024-01-03 01:00:00,276.36365,252.84163,16.40828,37.35843,3.4138336,-3.7413788
2024-01-03 02:00:00,276.02478,252.62752,15.195847,38.359146,3.08815,-5.83374
2024-01-03 03:00:00,276.03784,252.32153,14.690964,37.475296,2.9475098,-8.702209
2024-01-03 04:00:00,276.10986,251.98848,15.96283,34.2959,2.331253,-8.975388
2024-01-03 05:00:00,276.1394,251.72194,16.500824,31.888931,1.4380188,-7.252823
2024-01-03 06:00:00,276.09802,251.83154,15.861984,30.959183,1.5670166,-5.629196
2024-01-03 07:00:00,275.9276,251.89072,14.94162,30.356613,2.839569,-4.2966766
2024-01-03 08:00:00,275.85205,251.8088,14.272339,29.731949,4.50766,-2.6727753
2024-01-03 09:00:00,275.68774,251.40027,13.600296,30.28125,5.3760834,-1.1633911
2024-01-03 10:00:00,277.51965,250.38458,15.0607605,29.486649,4.126175,-0.7832947
2024-01-03 11:00:00,277.40662,250.24,15.06749,29.494598,3.8249512,-1.2612457
2024-01-03 12:00:00,277.24646,250.89287,15.086655,31.32341,4.9989166,-1.4005737
2024-01-03 13:00:00,276.99414,251.1554,13.671478,32.439987,6.926605,-3.199585
2024-01-03 14:00:00,277.13525,251.20903,13.569809,34.4749,7.411026,-3.5173492
2024-01-03 15:00:00,277.15955,250.9536,15.4151,37.126053,5.655838,-5.2208557
2024-01-03 16:00:00,277.13696,251.13657,17.252975,39.383743,4.667511,-7.3635406
2024-01-03 17:00:00,276.65796,251.02252,18.40387,38.255447,3.788208,-5.127182
2024-01-03 18:00:00,275.92053,250.89447,19.017105,38.330856,1.6216431,-4.5515747
2024-01-03 19:00:00,275.4381,250.28278,18.975418,42.685425,0.14535522,-5.479233
2024-01-03 20:00:00,275.10925,249.4875,19.123062,44.418015,-0.88171387,-5.732147
2024-01-03 21:00:00,274.85364,248.75638,18.925262,41.75879,-0.69885254,-8.31485
2024-01-03 22:00:00,274.90466,248.37308,20.910599,37.779495,-2.338501,-7.118332
2024-01-03 23:00:00,274.33997,246.91151,18.97139,36.997025,-2.8590088,-11.843903
2024-01-04 00:00:00,274.09656,246.72546,17.784683,38.628784,-2.4642487,-13.159164
2024-01-04 01:00:00,273.984,247.4633,17.26001,38.80191,-2.8002777,-17.074951
2024-01-04 02:00:00,274.05432,248.29953,16.391296,34.778336,-3.5503082,-20.284897
2024-01-04 03:00:00,273.99548,248.69649,15.5186615,31.669556,-3.9943848,-18.474243
2024-01-04 04:00:00,273.77905,248.98044,14.58046,32.57808,-4.3951874,-14.030853
2024-01-04 05:00:00,273.61902,249.13814,13.223373,30.629044,-4.857147,-10.41983
2024-01-04 06:00:00,273.36755,249.57529,11.294693,29.034836,-3.8862152,-8.653152
2024-01-04 07:00:00,273.2837,249.78876,8.835236,27.215866,-2.2073822,-9.049728
2024-01-04 08:00:00,273.1643,249.81639,6.4251556,26.536179,-0.4938507,-8.212265
2024-01-04 09:00:00,273.20337,249.84251,4.5105743,26.828613,1.1276703,-6.0055237
2024-01-04 10:00:00,274.0962,250.06392,2.9192963,28.128143,2.73349,-6.8816986
2024-01-04 11:00:00,274.29712,250.36082,1.6818848,27.606445,3.8209229,-5.6425323
2024-01-04 12:00:00,274.77222,250.20235,1.823288,26.045456,4.691025,-2.1120758
2024-01-04 13:00:00,275.49634,250.1998,1.9935455,26.4962,4.992737,1.2684784
2024-01-04 14:00:00,276.13916,250.5807,2.4419403,28.370255,6.0245667,1.9894104
2024-01-04 15:00:00,276.85132,250.92035,2.3220825,28.57405,6.934784,3.559433
2024-01-04 16:00:00,277.5205,251.11652,2.0226746,27.281982,7.6512146,5.056946
2024-01-04 17:00:00,277.86804,251.27295,2.3444977,24.945053,9.179626,6.345108
2024-01-04 18:00:00,278.09363,251.17305,3.9317322,22.34166,10.714783,6.9810486
2024-01-04 19:00:00,278.3119,250.86946,5.855057,20.136765,10.757919,7.93808
2024-01-04 20:00:00,278.54028,250.3895,7.503937,18.272705,9.531876,9.054153
2024-01-04 21:00:00,278.2235,250.0725,8.08165,17.22371,8.193466,10.482834
2024-01-04 22:00:00,277.66455,250.2963,10.991623,15.425186,5.6303406,12.109558
2024-01-04 23:00:00,277.15894,250.04138,9.698669,16.012177,4.5650024,11.136551
2024-01-05 00:00:00,277.10156,250.29492,7.63916,18.799774,4.493698,8.516449
2024-01-05 01:00:00,276.94263,250.43094,6.4605255,19.393524,4.7737274,9.488022
2024-01-05 02:00:00,277.10767,250.11693,6.0388336,17.78212,4.0377502,11.396271
2024-01-05 03:00:00,276.87476,249.69478,4.9337616,16.779282,2.6705322,13.021133
2024-01-05 04:00:00,276.66736,249.7876,4.086029,15.889847,1.4776306,13.935043
2024-01-05 05:00:00,276.36218,249.92319,2.6540833,14.401474,1.2359161,16.102325
2024-01-05 06:00:00,275.8694,249.81749,1.9716339,12.825012,0.87641907,15.549652
2024-01-05 07:00:00,275.26282,249.4917,1.5322266,11.255051,0.592926,14.409576
2024-01-05 08:00:00,274.7124,249.28134,0.6998749,9.760483,0.651947,14.57254
2024-01-05 09:00:00,274.23584,249.06847,0.10308838,7.602417,0.4501648,15.214493
2024-01-05 10:00:00,273.71033,248.54308,0.08105469,7.319229,-0.7758026,17.908905
2024-01-05 11:00:00,273.71277,248.64943,0.19108582,7.079712,-0.91033936,17.8237
2024-01-05 12:00:00,273.5691,248.41281,0.4851532,8.102463,-1.9361267,16.384155
2024-01-05 13:00:00,273.5962,247.9687,0.51490784,8.291077,-3.6748505,13.129654
2024-01-05 14:00:00,273.5022,247.771,0.16282654,7.851166,-4.5876923,11.192139
2024-01-05 15:00:00,273.50842,247.56601,0.09309387,7.6237793,-5.555771,10.466782
2024-01-05 16:00:00,273.34558,247.50555,0.6741333,8.899719,-6.1148834,9.152924
2024-01-05 17:00:00,273.16748,247.45802,0.46929932,8.81665,-7.052948,7.659195
2024-01-05 18:00:00,272.91028,247.24606,0.8211975,7.5349274,-8.624374,6.550003
2024-01-05 19:00:00,272.93372,246.95325,1.1479492,5.6796875,-9.52005,5.5263977
2024-01-05 20:00:00,272.83435,246.72879,1.4216003,3.6833801,-10.079514,4.616699
2024-01-05 21:00:00,272.4734,246.52975,1.7680359,1.7877502,-10.655746,4.176239
2024-01-05 22:00:00,272.47803,246.02483,0.67233276,2.9414215,-10.066742,4.8284454
2024-01-05 23:00:00,272.10437,246.09987,0.4165802,1.8520508,-9.9127655,3.806427
2024-01-06 00:00:00,271.86438,245.98497,0.3955536,0.78845215,-9.912521,3.385025
2024-01-06 01:00:00,271.5985,245.84535,0.58821106,-0.012145996,-10.473328,2.7285614
2024-01-06 02:00:00,271.2666,245.82552,0.06625366,-0.3056183,-10.970535,2.7863922
2024-01-06 03:00:00,270.9945,245.67949,-0.74458313,0.6561279,-10.911697,3.1310425
2024-01-06 04:00:00,270.90356,245.5674,-0.9051819,1.8428497,-10.623352,2.8215027
2024-01-06 05:00:00,270.6969,245.52988,-0.022140503,2.0776215,-10.713852,2.5796814
2024-01-06 06:00:00,270.42957,245.36523,0.85621643,1.4930115,-11.270676,2.7834778
2024-01-06 07:00:00,270.14612,245.23686,0.999115,0.80503845,-11.880112,3.025177
2024-01-06 08:00:00,269.98328,245.1245,0.67526245,0.20140076,-11.923889,3.3866882
2024-01-06 09:00:00,269.86572,244.96115,0.6529236,-0.33573914,-12.242279,3.610489
2024-01-06 10:00:00,269.64526,244.12439,1.7784729,-0.40480042,-11.082001,4.2818146
2024-01-06 11:00:00,269.63452,244.31512,1.7653961,-0.8291168,-12.165588,5.413803
2024-01-06 12:00:00,269.8678,244.44466,0.54037476,-1.4573364,-13.274536,5.7918243
2024-01-06 13:00:00,270.00293,244.25713,-0.30282593,-1.2054596,-12.852463,4.0895844
2024-01-06 14:00:00,269.93933,243.91487,0.18713379,-1.3300171,-13.084885,1.8283081
2024-01-06 15:00:00,269.75977,243.77412,1.1623688,-2.3327484,-13.687637,0.27627563
2024-01-06 16:00:00,269.33472,243.7339,1.6235809,-3.020401,-14.4387665,-0.28497314
2024-01-06 17:00:00,269.04443,243.65872,1.3460236,-3.4127045,-15.234589,-0.8012085
2024-01-06 18:00:00,268.74915,243.56915,0.1282959,-3.9233398,-15.300262,-1.7884064
