valid_time,t_850hPa,t_500hPa,u_850hPa,u_500hPa,v_850hPa,v_500hPa
2024-01-01 00:00:00,274.91687,253.05952,11.2131195,22.980637,-9.657272,0.430542
2024-01-01 01:00:00,274.745,252.84427,9.690903,21.995255,-10.043503,1.1030884
2024-01-01 02:00:00,274.63733,252.42119,9.896011,20.604599,-10.604431,1.716095
2024-01-01 03:00:00,274.6261,251.939,10.286041,19.554993,-10.944199,2.7077484
2024-01-01 04:00:00,274.32654,251.50793,10.080658,18.713013,-11.024063,3.2490845
2024-01-01 05:00:00,274.1432,251.17781,9.249817,18.28122,-10.920044,3.4075623
2024-01-01 06:00:00,274.172,250.9334,8.575424,17.706894,-10.915039,2.5454865
2024-01-01 07:00:00,274.30408,250.8165,8.177887,16.664719,-10.557831,1.4263306
2024-01-01 08:00:00,274.41602,250.82068,8.053268,15.647247,-10.184982,0.89131165
2024-01-01 09:00:00,274.47473,250.76414,7.5460052,14.611572,-9.931442,0.3344574
2024-01-01 10:00:00,274.3318,250.102,6.6522675,11.945282,-10.6401825,1.1515961
2024-01-01 11:00:00,274.61017,250.09995,7.0883484,11.28952,-9.73996,0.8986969
2024-01-01 12:00:00,274.8061,249.9327,7.624542,10.816406,-8.921082,0.1722107
2024-01-01 13:00:00,274.88776,249.72707,7.4107056,10.533997,-8.846558,-1.4317932
2024-01-01 14:00:00,274.8592,249.82214,6.8645477,10.608643,-8.529251,-3.1616058
2024-01-01 15:00:00,274.92847,249.94673,6.7461243,11.871796,-7.9597473,-4.7789
2024-01-01 16:00:00,274.98523,249.69879,7.3473816,13.073761,-8.144501,-4.9092255
2024-01-01 17:00:00,275.15442,249.55084,7.3624725,14.501282,-8.32074,-5.3935547
2024-01-01 18:00:00,275.2251,249.49782,7.057968,14.179947,-7.763611,-7.6098633
2024-01-01 19:00:00,275.13538,250.70372,7.0893097,10.718185,-7.3230133,-11.66127
2024-01-01 20:00:00,274.95422,251.48466,7.6592255,9.187592,-7.542938,-11.357452
2024-01-01 21:00:00,275.46472,253.83203,6.6256866,10.095551,-6.0000153,-12.394745
2024-01-01 22:00:00,275.6455,254.61961,7.243332,8.54509,-5.2290955,-9.512299
2024-01-01 23:00:00,275.911,254.78246,8.170502,10.492538,-4.396515,-9.151733
2024-01-02 00:00:00,276.1006,254.8141,9.044434,11.927673,-3.688446,-8.80748
