valid_time,t_850hPa,t_500hPa,u_850hPa,u_500hPa,v_850hPa,v_500hPa
2024-01-01 00:00:00,274.36804,252.92378,9.295151,25.365402,-10.468796,-1.0518799
2024-01-01 01:00:00,274.22937,252.59036,7.5600433,23.694473,-10.642136,-0.5883179
2024-01-01 02:00:00,274.2213,252.1458,8.358902,21.866318,-10.703064,0.24539185
2024-01-01 03:00:00,274.47766,251.7056,9.412994,20.711243,-10.982285,1.3639984
2024-01-01 04:00:00,274.3617,251.3341,9.418549,19.875122,-11.138321,1.8838501
2024-01-01 05:00:00,274.10608,251.06746,8.527161,18.958954,-11.053833,2.0677185
2024-01-01 06:00:00,274.0841,250.88457,7.887924,17.927597,-11.269531,1.7740021
2024-01-01 07:00:00,274.1615,250.8458,7.568512,16.77214,-10.993378,0.9849243
2024-01-01 08:00:00,274.20898,250.89392,7.313034,15.750763,-10.712326,0.22920227
2024-01-01 09:00:00,274.2638,250.78856,6.653427,14.687744,-10.478317,-0.49757385
2024-01-01 10:00:00,274.115,250.16548,5.6561737,11.714813,-10.894089,0.7492523
2024-01-01 11:00:00,274.42072,250.11362,6.256317,11.182098,-9.900116,0.635025
2024-01-01 12:00:00,274.57562,249.98152,6.681183,11.105469,-9.301941,0.16830444
2024-01-01 13:00:00,274.61823,249.9048,6.2817993,11.242981,-9.202026,-1.1759338
2024-01-01 14:00:00,274.61505,250.00964,5.8762665,11.844971,-8.706985,-2.7475433
2024-01-01 15:00:00,274.6609,249.93599,5.9082336,13.559296,-8.082794,-4.1597595
2024-01-01 16:00:00,274.69617,249.65485,6.570038,14.759308,-8.3749695,-4.385788
2024-01-01 17:00:00,274.84778,249.44342,6.571457,15.710266,-8.66449,-5.569336
2024-01-01 18:00:00,274.94385,249.58766,6.261093,14.371353,-8.005798,-9.072754
2024-01-01 19:00:00,274.8385,250.8922,6.4018097,11.013107,-7.5886383,-12.065567
2024-01-01 20:00:00,274.7433,251.65459,6.8350067,10.16806,-7.742157,-11.427765
2024-01-01 21:00:00,275.31042,254.0127,5.817093,10.724457,-6.0996246,-12.414276
2024-01-01 22:00:00,275.53223,254.53172,6.4698944,9.166183,-5.0083923,-9.373627
2024-01-01 23:00:00,275.84753,254.56566,7.490814,10.883163,-3.8281555,-8.99353
2024-01-02 00:00:00,275.98535,254.65688,8.382324,12.544861,-3.014618,-8.49498
2024-01-02 01:00:00,276.34668,254.51747,8.510254,16.09314,-2.8427582,-8.235046
2024-01-02 02:00:00,276.57214,254.5908,8.694794,18.102722,-1.9112396,-7.8720245
2024-01-02 03:00:00,276.5298,255.47394,9.189911,18.448654,-0.92326355,-8.337158
2024-01-02 04:00:00,276.13428,256.29865,10.799606,16.773453,-0.39053345,-7.806198
2024-01-02 05:00:00,276.4016,256.35208,10.835693,16.468445,0.23547363,-6.028885
2024-01-02 06:00:00,276.86597,256.51678,8.981384,20.282547,0.95103455,-6.372925
2024-01-02 07:00:00,276.95776,257.34473,9.02594,18.706314,1.1657104,-6.9989014
2024-01-02 08:00:00,276.83276,257.63754,7.9524994,17.466858,1.4398956,-7.6013794
2024-01-02 09:00:00,277.08667,258.0694,7.0638733,18.053741,1.8988037,-9.449692
2024-01-02 10:00:00,277.9414,258.1364,6.3692017,18.76773,2.2908325,-8.299698
2024-01-02 11:00:00,278.08423,258.42126,5.7207947,17.94928,2.4801483,-9.451248
2024-01-02 12:00:00,278.53223,258.96875,5.3101807,19.426666,1.8970642,-8.831558
2024-01-02 13:00:00,279.04956,259.28925,5.93927,22.112442,1.4121552,-6.1280823
