valid_time,t_850hPa,t_500hPa,u_850hPa,u_500hPa,v_850hPa,v_500hPa
2024-01-01 00:00:00,272.15125,242.96773,24.148666,20.836105,-0.1348114,0.36999512
2024-01-01 01:00:00,272.2079,244.49173,23.444809,26.739395,-0.57377625,-2.9984741
2024-01-01 02:00:00,271.84045,245.44463,22.327652,28.975693,0.06549072,-7.029999
2024-01-01 03:00:00,271.7589,246.43314,21.39151,28.558899,-1.215683,-9.011002
2024-01-01 04:00:00,271.72888,247.00696,20.486908,28.431763,-2.6432037,-10.534119
2024-01-01 05:00:00,271.7135,246.89168,19.118958,27.638641,-3.6573486,-11.367828
2024-01-01 06:00:00,271.6759,246.66289,17.83519,26.52916,-3.7783203,-10.384201
2024-01-01 07:00:00,271.89392,246.31357,16.521637,25.301437,-3.0187683,-8.282654
2024-01-01 08:00:00,272.0371,245.98279,15.836472,23.760529,-1.8353729,-5.5969696
2024-01-01 09:00:00,272.29114,245.90868,14.837021,22.574463,-0.333786,-3.3686676
2024-01-01 10:00:00,271.85132,245.977,15.208908,23.15622,0.570755,-2.4402008
2024-01-01 11:00:00,271.86017,246.21225,14.07077,24.07077,3.9846497,-5.697006
2024-01-01 12:00:00,271.8471,246.46199,14.374542,23.648438,5.4578247,-7.2984924
2024-01-01 13:00:00,271.80768,246.9009,14.414612,22.955872,5.6983643,-7.0763245
2024-01-01 14:00:00,272.1092,246.99207,15.073532,23.483643,5.500046,-6.661606
2024-01-01 15:00:00,272.67065,246.94868,14.166046,24.623749,5.6183777,-5.5367126
2024-01-01 16:00:00,273.18835,247.1861,14.093475,22.636261,5.316437,-4.745163
2024-01-01 17:00:00,273.8673,248.03815,13.934738,21.85675,6.4019165,-4.8271484
2024-01-01 18:00:00,274.2251,249.21559,14.431015,22.660416,8.722717,-6.541504
2024-01-01 19:00:00,274.0338,250.12852,14.632278,26.604904,11.79808,-3.5245514
2024-01-01 20:00:00,273.83704,251.48174,16.881882,26.496185,14.834015,-0.18948364
2024-01-01 21:00:00,274.6659,252.17871,20.563187,25.161957,16.394516,-0.68185425
2024-01-01 22:00:00,275.20996,252.8911,26.2238,26.011887,16.49356,4.53067
2024-01-01 23:00:00,275.8944,254.56175,27.25644,27.26207,8.013641,-4.755249
2024-01-02 00:00:00,276.08984,255.0641,28.880371,23.011658,10.092804,-11.045761
2024-01-02 01:00:00,276.2881,254.67567,29.736816,19.497437,13.39357,-12.313171
2024-01-02 02:00:00,276.84363,254.27245,31.556122,18.540222,14.850479,-10.776321
2024-01-02 03:00:00,277.13916,254.08624,31.81491,17.128342,11.750565,-5.9367676
2024-01-02 04:00:00,277.3706,254.62482,30.569138,19.451187,10.371185,1.3090363
2024-01-02 05:00:00,277.63403,256.23978,28.861084,26.329773,9.477661,-1.9273224
2024-01-02 06:00:00,277.9265,256.42206,27.7099,25.995438,9.65416,-3.4803467
2024-01-02 07:00:00,278.03198,256.1953,28.264221,22.762955,11.611023,-0.52233887
2024-01-02 08:00:00,278.2273,255.97543,28.860703,21.10553,12.709427,1.4474487
2024-01-02 09:00:00,278.49097,256.28717,29.804108,23.25882,13.381226,3.8803864
2024-01-02 10:00:00,278.09766,257.62567,28.685608,29.664215,7.3201294,3.307724
2024-01-02 11:00:00,278.14282,257.74548,27.816498,32.33795,10.40007,2.7010956
2024-01-02 12:00:00,277.792,257.60156,29.007446,28.182526,17.891205,4.141098
2024-01-02 13:00:00,278.3015,257.08807,29.812317,29.221817,18.892624,4.4773865
2024-01-02 14:00:00,278.53516,256.60834,32.1734,29.380508,18.309525,10.424377
2024-01-02 15:00:00,278.74487,256.49994,31.52597,37.436752,14.9734955,9.112091
2024-01-02 16:00:00,278.42358,253.76587,31.196518,36.639755,12.563736,9.7625885
2024-01-02 17:00:00,277.44336,252.64313,28.491806,32.531006,6.5432587,9.447556
2024-01-02 18:00:00,276.50806,252.0966,26.041275,35.404495,2.721115,8.160522
2024-01-02 19:00:00,276.1128,250.78366,25.414566,37.145813,2.358368,6.94075
2024-01-02 20:00:00,275.87476,249.28452,25.130905,36.773926,4.3464203,3.3952484
2024-01-02 21:00:00,275.6433,249.4319,25.466766,37.438416,4.9075165,0.36669922
2024-01-02 22:00:00,274.96948,249.03075,26.594833,33.175552,1.5696716,-0.31477356
2024-01-02 23:00:00,274.79382,248.73486,25.249496,30.700958,2.6385345,0.98786926
2024-01-03 00:00:00,274.547,248.3973,25.763535,30.046951,4.2665253,2.3798065
2024-01-03 01:00:00,274.4242,247.87971,26.480545,32.59085,6.9011383,3.1687775
2024-01-03 02:00:00,275.02185,247.57771,27.20366,35.288834,7.8147125,0.3635254
2024-01-03 03:00:00,275.56226,249.30005,26.860886,41.04756,9.305908,-2.6904907
2024-01-03 04:00:00,275.74756,249.6584,26.572205,41.836914,7.848831,-3.8289032
2024-01-03 05:00:00,275.46362,249.93483,25.762543,42.48073,5.350128,-4.7157135
2024-01-03 06:00:00,275.45935,250.33643,24.24675,43.084183,4.5220947,-3.642868
2024-01-03 07:00:00,275.50378,250.23349,23.265839,41.044113,4.997772,-1.3513641
2024-01-03 08:00:00,275.46338,249.81467,23.743042,39.06984,5.3992615,1.4619904
2024-01-03 09:00:00,275.23657,249.5282,23.87764,37.79883,6.278427,4.854187
2024-01-03 10:00:00,275.14465,249.84747,24.183807,36.09993,7.867386,8.685455
2024-01-03 11:00:00,274.63123,248.78883,24.171005,35.53952,9.344482,9.230942
2024-01-03 12:00:00,274.88318,247.77861,24.71556,32.74919,10.437393,7.941223
2024-01-03 13:00:00,274.47656,247.47961,25.882416,28.055222,9.084808,6.4449463
2024-01-03 14:00:00,274.1333,246.69633,25.68895,25.953415,6.317276,4.3107758
2024-01-03 15:00:00,274.42126,246.33836,25.979553,26.417068,2.8921661,1.6268005
2024-01-03 16:00:00,274.26587,246.34848,25.573288,26.129837,1.7827454,-1.0861969
2024-01-03 17:00:00,274.16187,246.31744,24.856995,25.179276,1.5987549,-1.0060883
2024-01-03 18:00:00,273.87756,246.02435,25.50148,24.776169,0.6226196,-1.2254028
2024-01-03 19:00:00,273.72327,245.76129,24.567215,24.005737,0.8543396,-1.8190765
2024-01-03 20:00:00,273.44324,245.74629,24.246109,23.232468,0.32141113,-3.3102722
2024-01-03 21:00:00,273.4923,245.69876,24.044403,23.194336,-0.87072754,-4.7289124
2024-01-03 22:00:00,273.76013,245.65726,26.54927,23.822464,-4.684204,-5.178879
2024-01-03 23:00:00,273.39758,245.77089,24.961624,23.340775,-5.4224854,-8.177887
2024-01-04 00:00:00,273.2909,246.33582,23.956558,25.296753,-6.3704987,-7.8759613
2024-01-04 01:00:00,272.94592,246.31584,23.246338,25.987457,-6.55809,-3.8288574
2024-01-04 02:00:00,272.7428,245.9675,22.164734,26.540054,-6.1372223,-4.0681
2024-01-04 03:00:00,272.75525,246.0627,19.954208,28.271118,-5.97876,-4.7769775
2024-01-04 04:00:00,272.55054,246.10934,18.435928,27.656204,-5.4635468,-6.1441345
2024-01-04 05:00:00,272.45398,247.019,16.705795,31.730606,-4.513397,-7.7381897
2024-01-04 06:00:00,272.47986,248.46689,15.243912,32.13054,-3.2475433,-8.930496
2024-01-04 07:00:00,272.6411,248.70673,14.309845,28.198288,-1.9358978,-8.2860565
2024-01-04 08:00:00,272.84595,248.31541,13.794296,25.21782,-0.35127258,-4.6556244
2024-01-04 09:00:00,273.20728,248.12865,13.022293,24.492676,1.1940765,-2.0523987
2024-01-04 10:00:00,272.80518,248.13911,12.296249,23.971893,3.0284119,-0.6766205
2024-01-04 11:00:00,273.92993,248.52098,10.931885,22.737305,5.496704,1.2402802
2024-01-04 12:00:00,274.3601,248.67793,10.342819,20.54741,7.9800873,3.4230804
2024-01-04 13:00:00,275.15454,248.61191,10.192764,18.617294,8.606018,4.903244
2024-01-04 14:00:00,276.07666,248.89516,10.576706,17.31752,9.321442,5.876129
2024-01-04 15:00:00,275.68726,249.08734,10.355286,17.714676,11.514862,6.297714
2024-01-04 16:00:00,274.45215,249.19757,9.483612,20.783936,13.834808,6.402649
2024-01-04 17:00:00,274.32703,249.35107,12.25856,19.8806,15.540955,8.089249
2024-01-04 18:00:00,274.90222,248.84395,13.718842,19.669785,18.259705,12.147064
2024-01-04 19:00:00,275.3275,248.66048,16.177322,19.009811,19.830185,12.555267
2024-01-04 20:00:00,274.85083,248.29965,17.910187,18.235596,17.985,14.280716
2024-01-04 21:00:00,274.39734,247.90648,17.657822,17.059647,14.771591,16.281662
2024-01-04 22:00:00,274.24854,247.90958,18.847092,20.085342,10.378387,16.30487
2024-01-04 23:00:00,273.45386,247.24744,18.487732,21.324677,9.195862,18.1678
2024-01-05 00:00:00,272.82227,246.36523,18.791504,21.743134,8.435104,20.485199
2024-01-05 01:00:00,272.1067,245.5364,19.42537,21.073212,5.272751,19.861069
2024-01-05 02:00:00,272.05493,245.32689,18.718521,19.805557,1.6861877,18.872833
2024-01-05 03:00:00,271.9353,245.67427,17.775558,20.476547,-1.4993896,18.04457
2024-01-05 04:00:00,271.70056,245.53564,16.552826,22.13594,-3.6844788,15.175278
2024-01-05 05:00:00,271.5243,244.93002,15.306427,20.991318,-4.194748,12.74295
2024-01-05 06:00:00,271.42407,244.51866,13.715775,20.141418,-4.0708466,11.16684
2024-01-05 07:00:00,271.63,244.19873,12.438477,19.026535,-2.9129333,9.65567
2024-01-05 08:00:00,271.75342,243.962,11.7096405,17.772202,-1.660553,8.136993
2024-01-05 09:00:00,271.83154,243.8126,11.065979,16.961792,-1.0088196,7.1656647
2024-01-05 10:00:00,271.51892,243.64171,10.852539,14.68837,-2.6449432,1.9362488
2024-01-05 11:00:00,271.5077,243.20216,10.380539,11.415649,-2.4240112,0.5873718
2024-01-05 12:00:00,271.6687,243.20187,9.975388,10.6141815,-2.6333923,2.4290771
2024-01-05 13:00:00,271.5005,243.12105,9.298111,10.746155,-3.276413,4.114029
2024-01-05 14:00:00,271.28735,243.26416,8.22728,12.1753845,-3.3767548,4.3737793
2024-01-05 15:00:00,271.3385,243.25351,7.800125,12.647217,-3.1807709,2.7636566
2024-01-05 16:00:00,271.3319,242.97333,8.074524,11.51886,-3.4488678,1.8247986
2024-01-05 17:00:00,271.26904,242.6631,8.456604,10.5354,-4.367401,1.8017731
2024-01-05 18:00:00,271.2091,242.4072,8.146393,10.310318,-4.552109,2.003128
2024-01-05 19:00:00,271.1681,242.29309,7.4506836,10.4296875,-4.768097,2.0342102
2024-01-05 20:00:00,271.08435,242.24344,6.547577,10.521271,-5.224045,1.8354492
2024-01-05 21:00:00,271.02222,242.1948,5.738739,9.951813,-5.540512,1.4438171
2024-01-05 22:00:00,270.74365,242.55022,4.406708,9.808609,-6.863617,3.213211
2024-01-05 23:00:00,270.63953,242.33717,3.6079865,9.320801,-6.9772186,3.2849426
2024-01-06 00:00:00,270.56165,242.18712,3.0244598,8.511108,-6.687912,2.539322
2024-01-06 01:00:00,270.5282,242.16664,3.0003204,7.239807,-6.4733276,1.3418427
2024-01-06 02:00:00,270.61816,242.12727,3.2850037,5.5674286,-6.605301,0.4192047
2024-01-06 03:00:00,270.42224,242.08672,3.7358856,4.144409,-7.030838,-0.11114502
2024-01-06 04:00:00,270.08716,242.08498,4.251068,3.1397247,-7.607727,-0.75271606
2024-01-06 05:00:00,269.77698,242.10019,4.702469,2.476059,-8.409164,-1.5238342
2024-01-06 06:00:00,269.71082,242.10742,4.662857,2.2918396,-9.298019,-2.1305847
2024-01-06 07:00:00,269.7555,242.12846,4.2588806,2.4632416,-10.118393,-2.9787292
2024-01-06 08:00:00,269.76257,242.17235,3.794403,2.7463226,-10.326233,-4.0429993
2024-01-06 09:00:00,269.54736,242.22678,2.7271423,2.7794952,-10.078217,-5.3211517
2024-01-06 10:00:00,269.27026,242.04236,0.9737854,1.6537933,-10.0468445,-6.6127167
2024-01-06 11:00:00,268.74585,242.03973,1.2068024,1.0517426,-8.536682,-6.746353
2024-01-06 12:00:00,268.4381,242.08723,1.8138123,0.4118042,-8.630005,-6.493332
2024-01-06 13:00:00,268.2881,242.13115,1.9510803,0.39024353,-9.200119,-6.1740875
2024-01-06 14:00:00,268.48816,242.03694,1.3121338,0.6445923,-10.204025,-6.3064575
2024-01-06 15:00:00,269.01953,241.8415,0.4377594,0.9406891,-10.832169,-6.6768494
2024-01-06 16:00:00,269.42456,241.6421,0.32279968,0.83506775,-11.421188,-7.138489
2024-01-06 17:00:00,269.51904,241.5015,0.12336731,0.19862366,-12.543182,-7.3793335
2024-01-06 18:00:00,269.214,241.40997,-0.016235352,-0.61279297,-13.597137,-7.3997345
2024-01-06 19:00:00,268.59167,241.23161,-0.07652283,-1.6422424,-13.806381,-6.9748077
2024-01-06 20:00:00,267.87817,241.11002,-0.09402466,-2.0154877,-13.991989,-6.282242
2024-01-06 21:00:00,267.5111,240.94662,-0.28134155,-1.8849945,-14.213135,-5.765793
2024-01-06 22:00:00,267.5304,240.90987,-1.0616302,-1.0502625,-13.449631,-6.622406
2024-01-06 23:00:00,267.2771,241.00835,-1.4623566,-0.9490814,-13.83551,-6.9673157
2024-01-07 00:00:00,267.7246,241.2587,-1.8664856,-1.3090363,-13.64241,-7.656204
2024-01-07 01:00:00,268.26794,241.34224,-2.1318817,-1.9937439,-13.30304,-7.9019623
2024-01-07 02:00:00,268.49805,241.42773,-1.7910461,-2.5757751,-13.136047,-7.356201
2024-01-07 03:00:00,268.31055,241.69432,-1.7273102,-2.508194,-13.233337,-6.8750763
2024-01-07 04:00:00,267.83594,241.96883,-2.3164978,-1.6358795,-13.802856,-7.329529
2024-01-07 05:00:00,267.50378,242.09271,-3.0012665,-1.0196838,-14.615219,-7.9297943
2024-01-07 06:00:00,267.2649,242.14609,-3.6383514,-0.7837982,-15.283264,-8.095978
2024-01-07 07:00:00,266.87415,242.25821,-3.996704,-0.8306885,-14.995789,-7.769043
2024-01-07 08:00:00,266.72595,242.41144,-3.8973083,-1.4303589,-14.115631,-6.985016
2024-01-07 09:00:00,266.98755,242.53252,-3.7896118,-2.1194,-13.283844,-5.7926483
2024-01-07 10:00:00,267.59668,242.72224,-4.8332214,-1.1910248,-11.227905,-3.182373
2024-01-07 11:00:00,267.6875,242.84845,-5.6879272,-0.7667389,-8.674667,-3.5038605
2024-01-07 12:00:00,267.61072,242.88972,-6.1360474,-0.68963623,-7.3153534,-4.131836
2024-01-07 13:00:00,267.59277,242.8796,-5.965515,-1.1601257,-7.32518,-4.68779
2024-01-07 14:00:00,267.7063,242.80391,-5.747406,-1.5381165,-7.9870605,-4.762497
2024-01-07 15:00:00,267.78638,242.76047,-5.43779,-1.5704346,-8.739151,-4.5798645
2024-01-07 16:00:00,267.8363,242.70578,-5.281067,-1.529129,-9.327744,-4.5373383
2024-01-07 17:00:00,267.8966,242.63855,-6.0184326,-1.4515533,-9.143158,-4.6278076
2024-01-07 18:00:00,268.02002,242.60553,-6.614792,-1.7697601,-8.425247,-4.7641754
2024-01-07 19:00:00,268.1997,242.62402,-6.725006,-2.6957092,-8.389053,-4.7522583
2024-01-07 20:00:00,268.40088,242.61641,-6.9760284,-3.7962952,-9.212402,-4.3695374
2024-01-07 21:00:00,268.4723,242.50212,-7.236969,-4.6075287,-9.773071,-3.9865265
2024-01-07 22:00:00,269.69775,242.14479,-6.675354,-4.805969,-9.627533,-2.3833008
2024-01-07 23:00:00,270.00073,241.99347,-7.870468,-3.8293304,-9.061844,-2.930893
2024-01-08 00:00:00,270.13574,241.79959,-9.015335,-3.460373,-8.848907,-3.8695068
2024-01-08 01:00:00,270.02136,241.72028,-10.644516,-3.5039825,-9.108765,-4.3958435
2024-01-08 02:00:00,269.50208,241.67346,-10.871765,-3.476471,-9.481293,-4.3311768
2024-01-08 03:00:00,268.80737,241.67941,-9.847824,-3.2122498,-9.7379,-4.1240387
2024-01-08 04:00:00,268.00366,241.74074,-8.891373,-2.9080353,-10.182327,-4.2363586
2024-01-08 05:00:00,267.27905,241.86896,-8.656036,-2.6109924,-10.488113,-3.7660217
